NOSE,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE_OUTER,LEFT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_RIGHT,LEFT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,RIGHT_WRIST,LEFT_PINKY,RIGHT_PINKY,LEFT_INDEX,RIGHT_INDEX,LEFT_THUMB,RIGHT_THUMB,LEFT_HIP,RIGHT_HIP,LEFT_KNEE,RIGHT_KNEE,LEFT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX
"[0.5170493721961975, 0.2611454427242279, -0.17149722576141357]","[0.5212451815605164, 0.25042209029197693, -0.15869374573230743]","[0.5240850448608398, 0.25094202160835266, -0.15867319703102112]","[0.526772141456604, 0.2517159879207611, -0.15864738821983337]","[0.5132590532302856, 0.2496374398469925, -0.15562598407268524]","[0.5106669068336487, 0.24959594011306763, -0.15561236441135406]","[0.5081796646118164, 0.24983415007591248, -0.15555396676063538]","[0.5303910374641418, 0.2603279948234558, -0.08692976087331772]","[0.5051451325416565, 0.2584904134273529, -0.07172980159521103]","[0.5224258303642273, 0.2760019302368164, -0.14632056653499603]","[0.5116860270500183, 0.27447327971458435, -0.14178067445755005]","[0.5462907552719116, 0.3371804356575012, -0.08990216255187988]","[0.48479145765304565, 0.32870495319366455, -0.073818139731884]","[0.5587491393089294, 0.3221135139465332, -0.2782071530818939]","[0.4624146819114685, 0.30142346024513245, -0.252928763628006]","[0.5736991167068481, 0.274440735578537, -0.45872753858566284]","[0.4551633894443512, 0.24468453228473663, -0.427374929189682]","[0.5858294367790222, 0.26121678948402405, -0.5000381469726562]","[0.4483996331691742, 0.22797685861587524, -0.4689858555793762]","[0.5807679891586304, 0.2593885064125061, -0.5010685324668884]","[0.4527653753757477, 0.22753985226154327, -0.4634758532047272]","[0.5745509266853333, 0.2655600607395172, -0.46692830324172974]","[0.45599299669265747, 0.23468941450119019, -0.43339282274246216]","[0.5229744911193848, 0.5404342412948608, 0.00037863210309296846]","[0.48292413353919983, 0.5314159393310547, -0.0005192641401663423]","[0.5246028900146484, 0.6660259366035461, 0.035359710454940796]","[0.46548399329185486, 0.6481767296791077, 0.04573255404829979]","[0.5178482532501221, 0.7762206792831421, 0.17440639436244965]","[0.46100735664367676, 0.7642648220062256, 0.18798242509365082]","[0.5127866864204407, 0.7861359715461731, 0.18287837505340576]","[0.46378475427627563, 0.7762647867202759, 0.1973472237586975]","[0.5217761993408203, 0.8267831802368164, 0.09370194375514984]","[0.45107394456863403, 0.816633939743042, 0.11568479239940643]"
"[0.5166043639183044, 0.262058287858963, -0.16608034074306488]","[0.5210093855857849, 0.25115615129470825, -0.15429988503456116]","[0.5239043831825256, 0.25160345435142517, -0.15428414940834045]","[0.5266039967536926, 0.2522236406803131, -0.15426483750343323]","[0.5127714276313782, 0.25082099437713623, -0.15166959166526794]","[0.5101547241210938, 0.25089603662490845, -0.1516450196504593]","[0.5076529383659363, 0.2512558400630951, -0.1515914499759674]","[0.5303041934967041, 0.26029807329177856, -0.0841684490442276]","[0.5051261186599731, 0.2586832642555237, -0.07054859399795532]","[0.522405743598938, 0.276577353477478, -0.14097611606121063]","[0.5115984082221985, 0.2752794325351715, -0.13700439035892487]","[0.5462775230407715, 0.33698520064353943, -0.08682416379451752]","[0.48526397347450256, 0.32854095101356506, -0.07393419742584229]","[0.5597866177558899, 0.3187035322189331, -0.280939519405365]","[0.463752418756485, 0.30232396721839905, -0.2596299648284912]","[0.5736832618713379, 0.27434566617012024, -0.4618557393550873]","[0.4560604691505432, 0.2448989301919937, -0.4369887411594391]","[0.5849504470825195, 0.2605172097682953, -0.5029433965682983]","[0.44885164499282837, 0.22798892855644226, -0.47881364822387695]","[0.5797390937805176, 0.25926172733306885, -0.5020490884780884]","[0.452781617641449, 0.2274734079837799, -0.4732290208339691]","[0.5726001858711243, 0.26567286252975464, -0.4690459668636322]","[0.4560776650905609, 0.23461903631687164, -0.44285064935684204]","[0.5229777693748474, 0.5384443402290344, 0.0004117643984500319]","[0.48318585753440857, 0.5290966629981995, -0.0005571797373704612]","[0.522933840751648, 0.666707456111908, 0.02718164026737213]","[0.4654533267021179, 0.6496575474739075, 0.027121420949697495]","[0.517797589302063, 0.7761749029159546, 0.16488203406333923]","[0.4606720507144928, 0.7643706202507019, 0.16326095163822174]","[0.5128034353256226, 0.7855778336524963, 0.1731497347354889]","[0.46378517150878906, 0.7763203978538513, 0.17200928926467896]","[0.5210117101669312, 0.8267652988433838, 0.08642220497131348]","[0.4510610103607178, 0.816625714302063, 0.09212056547403336]"
"[0.5163777470588684, 0.2625523805618286, -0.165582075715065]","[0.5209109783172607, 0.251518189907074, -0.15372589230537415]","[0.5238308906555176, 0.25192496180534363, -0.15371182560920715]","[0.5265309810638428, 0.2524596154689789, -0.1536955088376999]","[0.5125049352645874, 0.25140923261642456, -0.15134672820568085]","[0.509857714176178, 0.2515465319156647, -0.15132009983062744]","[0.5073481798171997, 0.25195983052253723, -0.15126660466194153]","[0.5302563309669495, 0.2602151334285736, -0.08299737423658371]","[0.5051111578941345, 0.25871890783309937, -0.07054699957370758]","[0.5223986506462097, 0.2768767774105072, -0.14013032615184784]","[0.5115351676940918, 0.2757215201854706, -0.1365494579076767]","[0.5462599992752075, 0.33672860264778137, -0.08610405772924423]","[0.48537659645080566, 0.32832255959510803, -0.07556051015853882]","[0.5603109002113342, 0.3162042200565338, -0.28525301814079285]","[0.46417513489723206, 0.30228108167648315, -0.2686989903450012]","[0.5731592774391174, 0.2742064297199249, -0.4684417247772217]","[0.4564083218574524, 0.2448437511920929, -0.4489772915840149]","[0.5835623741149902, 0.2600446045398712, -0.5103499889373779]","[0.4490480422973633, 0.22783641517162323, -0.4915538728237152]","[0.5782817602157593, 0.2590872049331665, -0.5081935524940491]","[0.4527786374092102, 0.22697407007217407, -0.4858018755912781]","[0.570754885673523, 0.2656837999820709, -0.4752391278743744]","[0.45608124136924744, 0.2340497076511383, -0.45490068197250366]","[0.5229833126068115, 0.5372909307479858, 0.0005443452391773462]","[0.48338207602500916, 0.5280009508132935, -0.0006983021157793701]","[0.5221988558769226, 0.66745924949646, 0.02684255875647068]","[0.46541357040405273, 0.6503902673721313, 0.02259817346930504]","[0.5177674293518066, 0.7761364579200745, 0.16528190672397614]","[0.4605123996734619, 0.7643852829933167, 0.16134828329086304]","[0.5128194689750671, 0.7850733995437622, 0.1745632439851761]","[0.4637855887413025, 0.7763242721557617, 0.17034070193767548]","[0.5207875370979309, 0.826692521572113, 0.08991784602403641]","[0.45107412338256836, 0.8166245222091675, 0.08936528861522675]"
"[0.5162250399589539, 0.26292896270751953, -0.164505273103714]","[0.520817220211029, 0.25180697441101074, -0.1525684893131256]","[0.5237456560134888, 0.25219786167144775, -0.15255460143089294]","[0.5264512896537781, 0.25268784165382385, -0.15253916382789612]","[0.512333333492279, 0.2517980933189392, -0.15030081570148468]","[0.509674072265625, 0.2519705593585968, -0.15027295053005219]","[0.5071671009063721, 0.2524087429046631, -0.15021926164627075]","[0.5302129983901978, 0.26017066836357117, -0.08165157586336136]","[0.5050996541976929, 0.25875014066696167, -0.06996648013591766]","[0.5223863124847412, 0.2771238386631012, -0.1389428675174713]","[0.5114928483963013, 0.2760222256183624, -0.135501891374588]","[0.5462597012519836, 0.3366154432296753, -0.08432704210281372]","[0.4854561686515808, 0.3282060921192169, -0.07550990581512451]","[0.5606258511543274, 0.3149709701538086, -0.2851617634296417]","[0.4643051028251648, 0.30254927277565, -0.2657702565193176]","[0.5728417634963989, 0.27411437034606934, -0.46671637892723083]","[0.4565529227256775, 0.24480433762073517, -0.4435911774635315]","[0.5829944014549255, 0.25959888100624084, -0.5080803632736206]","[0.4492102563381195, 0.22765597701072693, -0.4857235550880432]","[0.57765132188797, 0.258747398853302, -0.5041341185569763]","[0.45278477668762207, 0.226499542593956, -0.4799478054046631]","[0.5699690580368042, 0.2656555473804474, -0.4724656045436859]","[0.4560914933681488, 0.23352819681167603, -0.4494476318359375]","[0.5230047702789307, 0.5367829203605652, 0.0006603779038414359]","[0.4835158884525299, 0.527519166469574, -0.0008205490885302424]","[0.5218867063522339, 0.6681226491928101, 0.026283105835318565]","[0.46539244055747986, 0.6508888602256775, 0.02196536585688591]","[0.5177208185195923, 0.7760786414146423, 0.16900897026062012]","[0.46041837334632874, 0.764385998249054, 0.16214309632778168]","[0.5128198862075806, 0.7845549583435059, 0.179124116897583]","[0.46378621459007263, 0.7763248085975647, 0.17133083939552307]","[0.5207363963127136, 0.826677680015564, 0.095538429915905]","[0.45110446214675903, 0.8166230320930481, 0.09048765897750854]"
"[0.5160827040672302, 0.26314473152160645, -0.1636378914117813]","[0.5207165479660034, 0.25198301672935486, -0.15169741213321686]","[0.5236508846282959, 0.2523755133152008, -0.15168321132659912]","[0.5263677835464478, 0.25285738706588745, -0.15166854858398438]","[0.5121767520904541, 0.2520083785057068, -0.14942879974842072]","[0.5095075368881226, 0.2521970570087433, -0.1494005024433136]","[0.507012665271759, 0.25263968110084534, -0.1493465155363083]","[0.530166506767273, 0.2601315677165985, -0.08070377260446548]","[0.5050851106643677, 0.25875794887542725, -0.06924841552972794]","[0.5223649740219116, 0.27727144956588745, -0.13805809617042542]","[0.5114436745643616, 0.27618175745010376, -0.1346304714679718]","[0.5462578535079956, 0.3365868926048279, -0.08317507803440094]","[0.4855267107486725, 0.3281133770942688, -0.07538246363401413]","[0.5607456564903259, 0.3146986961364746, -0.28447791934013367]","[0.4645015299320221, 0.3026551902294159, -0.2643181085586548]","[0.5727065801620483, 0.27411291003227234, -0.4660588204860687]","[0.4566793441772461, 0.24474966526031494, -0.44159507751464844]","[0.582757830619812, 0.259389191865921, -0.5073655843734741]","[0.4493803083896637, 0.22750918567180634, -0.4835156500339508]","[0.5775142908096313, 0.25844764709472656, -0.5028964281082153]","[0.45280876755714417, 0.22615402936935425, -0.4777124524116516]","[0.5698512196540833, 0.26560652256011963, -0.47139972448349]","[0.4561113715171814, 0.2331346869468689, -0.44740620255470276]","[0.523017942905426, 0.5365416407585144, 0.0007461003842763603]","[0.48360729217529297, 0.5273220539093018, -0.0009105224162340164]","[0.5216557383537292, 0.6687371730804443, 0.025970494374632835]","[0.4653760492801666, 0.6512390971183777, 0.020066268742084503]","[0.5176743268966675, 0.7760164737701416, 0.1715908944606781]","[0.46036243438720703, 0.7644080519676208, 0.15891608595848083]","[0.5128163695335388, 0.7841498255729675, 0.18192383646965027]","[0.4637880325317383, 0.7763571739196777, 0.1680137664079666]","[0.520709753036499, 0.826659083366394, 0.0984891727566719]","[0.45114320516586304, 0.8166179060935974, 0.08735228329896927]"
"[0.5159302949905396, 0.26326784491539, -0.16358469426631927]","[0.5206108689308167, 0.252096027135849, -0.1516352742910385]","[0.5235523581504822, 0.25250372290611267, -0.15162071585655212]","[0.5262848734855652, 0.25300219655036926, -0.15160581469535828]","[0.5120131969451904, 0.25210922956466675, -0.1492929905653]","[0.5093330144882202, 0.2522978186607361, -0.14926418662071228]","[0.5068620443344116, 0.2527284622192383, -0.14920924603939056]","[0.5301243662834167, 0.2601138651371002, -0.08056841790676117]","[0.5050677061080933, 0.2587537467479706, -0.06894221901893616]","[0.5223241448402405, 0.2773663103580475, -0.1380327045917511]","[0.5113611221313477, 0.2762598395347595, -0.13452363014221191]","[0.5462465286254883, 0.33657902479171753, -0.08324277400970459]","[0.4855561852455139, 0.3279728591442108, -0.07534294575452805]","[0.5607248544692993, 0.3149130642414093, -0.2841487228870392]","[0.464660108089447, 0.3026861250400543, -0.26497358083724976]","[0.572615385055542, 0.2742697298526764, -0.4673103392124176]","[0.4568327069282532, 0.24474073946475983, -0.4444662034511566]","[0.5826529264450073, 0.2593787610530853, -0.5092320442199707]","[0.4495317339897156, 0.22747154533863068, -0.4865638315677643]","[0.5775363445281982, 0.25826719403266907, -0.5065875053405762]","[0.4528355598449707, 0.22600576281547546, -0.48099207878112793]","[0.5699450969696045, 0.2655698359012604, -0.47373995184898376]","[0.4561389982700348, 0.23296892642974854, -0.4504165053367615]","[0.5230218172073364, 0.5364062786102295, 0.0008549376507289708]","[0.4836410880088806, 0.5272213220596313, -0.00102220568805933]","[0.5214799046516418, 0.669120728969574, 0.026020383462309837]","[0.465373694896698, 0.6514818668365479, 0.018914412707090378]","[0.5176283121109009, 0.7759370803833008, 0.1736283004283905]","[0.4603244662284851, 0.7644581198692322, 0.157307431101799]","[0.5128094553947449, 0.7838217616081238, 0.1838918924331665]","[0.4637887477874756, 0.7764378190040588, 0.1663733720779419]","[0.5207064747810364, 0.8266465663909912, 0.1001790389418602]","[0.45121049880981445, 0.8166132569313049, 0.0856894701719284]"
"[0.5159308910369873, 0.2633245587348938, -0.16781947016716003]","[0.5206043720245361, 0.2521948516368866, -0.15554487705230713]","[0.5235455632209778, 0.25262153148651123, -0.15553244948387146]","[0.5262738466262817, 0.2531206011772156, -0.1555177867412567]","[0.5119861364364624, 0.25215235352516174, -0.15393385291099548]","[0.5092860460281372, 0.2523292899131775, -0.15390083193778992]","[0.506807267665863, 0.25274014472961426, -0.15383732318878174]","[0.5300119519233704, 0.2600826919078827, -0.08247099071741104]","[0.5049170255661011, 0.2587238848209381, -0.0741155669093132]","[0.5223152041435242, 0.27743417024612427, -0.14160019159317017]","[0.5113288164138794, 0.27628499269485474, -0.13915136456489563]","[0.5459803938865662, 0.3364926278591156, -0.08552034199237823]","[0.48554983735084534, 0.3279041647911072, -0.08203806728124619]","[0.5606775283813477, 0.31498077511787415, -0.29650965332984924]","[0.46465030312538147, 0.3039703965187073, -0.28282779455184937]","[0.5732290148735046, 0.2741245925426483, -0.4922031760215759]","[0.45682406425476074, 0.24536946415901184, -0.4726869463920593]","[0.5834814310073853, 0.25834301114082336, -0.5365884304046631]","[0.4492558538913727, 0.22769199311733246, -0.516405463218689]","[0.5790264010429382, 0.2571130096912384, -0.5353703498840332]","[0.45256632566452026, 0.22628818452358246, -0.5115459561347961]","[0.5735530853271484, 0.263934850692749, -0.5000243186950684]","[0.45609912276268005, 0.23366285860538483, -0.4793146550655365]","[0.5227842926979065, 0.5359904170036316, 0.0012142640771344304]","[0.48354142904281616, 0.526988685131073, -0.001382374088279903]","[0.5216256380081177, 0.6673121452331543, 0.031052004545927048]","[0.46538299322128296, 0.6514736413955688, 0.02010897733271122]","[0.5176870226860046, 0.7756184935569763, 0.17235592007637024]","[0.46032842993736267, 0.7645010948181152, 0.14619043469429016]","[0.5128435492515564, 0.7834294438362122, 0.18118780851364136]","[0.46385517716407776, 0.7765263915061951, 0.15367713570594788]","[0.5206992626190186, 0.8259305357933044, 0.09456601738929749]","[0.4513654112815857, 0.8164377212524414, 0.07042008638381958]"
"[0.5159308910369873, 0.26628464460372925, -0.17012262344360352]","[0.5205937623977661, 0.25511443614959717, -0.15754926204681396]","[0.5235413312911987, 0.2557220160961151, -0.15753528475761414]","[0.526262640953064, 0.2564147710800171, -0.15752020478248596]","[0.5119129419326782, 0.25429463386535645, -0.15643742680549622]","[0.5091778039932251, 0.2544180452823639, -0.15640273690223694]","[0.5066794157028198, 0.2547156512737274, -0.1563303917646408]","[0.5298840999603271, 0.2623477578163147, -0.08327846229076385]","[0.5045562386512756, 0.2605777978897095, -0.07757274806499481]","[0.5222166776657104, 0.2806345522403717, -0.14357060194015503]","[0.5112459659576416, 0.2787540555000305, -0.1418948769569397]","[0.5456071496009827, 0.33791881799697876, -0.08724011480808258]","[0.485215961933136, 0.3296975791454315, -0.08702702820301056]","[0.5601890683174133, 0.31922972202301025, -0.2984399199485779]","[0.4647040367126465, 0.30650854110717773, -0.2924542725086212]","[0.5740699768066406, 0.27599963545799255, -0.4949300289154053]","[0.4568864703178406, 0.24826499819755554, -0.48640647530555725]","[0.5859376192092896, 0.2586308717727661, -0.5401431322097778]","[0.44918981194496155, 0.22985880076885223, -0.5312404036521912]","[0.5818800926208496, 0.25721263885498047, -0.5396819114685059]","[0.4524877965450287, 0.2280377298593521, -0.5269016623497009]","[0.5751972198486328, 0.26454150676727295, -0.5033387541770935]","[0.4560997486114502, 0.2354322075843811, -0.4936376214027405]","[0.5223602056503296, 0.5360265374183655, 0.001389217795804143]","[0.4831700325012207, 0.5271547436714172, -0.0015525122871622443]","[0.5232760310173035, 0.66535484790802, 0.030925508588552475]","[0.4655590057373047, 0.651069700717926, 0.016719231382012367]","[0.5177539587020874, 0.7734758853912354, 0.16664624214172363]","[0.4604427218437195, 0.7645622491836548, 0.14444661140441895]","[0.5128770470619202, 0.7809519171714783, 0.17463523149490356]","[0.463907390832901, 0.7765926718711853, 0.15231305360794067]","[0.5207497477531433, 0.824429988861084, 0.08743497729301453]","[0.4517054557800293, 0.8160695433616638, 0.06988836824893951]"
"[0.5153638124465942, 0.26980626583099365, -0.1729590892791748]","[0.5199861526489258, 0.25853633880615234, -0.16055263578891754]","[0.5230126976966858, 0.2589830756187439, -0.16053801774978638]","[0.52581387758255, 0.25961893796920776, -0.16051386296749115]","[0.5111104846000671, 0.2580627202987671, -0.15861058235168457]","[0.5084466338157654, 0.25814616680145264, -0.15857526659965515]","[0.5060015916824341, 0.2583022117614746, -0.15849949419498444]","[0.5295906066894531, 0.26544710993766785, -0.08807311952114105]","[0.5040217638015747, 0.26403459906578064, -0.07837377488613129]","[0.5215030908584595, 0.2841856777667999, -0.14723150432109833]","[0.5105462074279785, 0.2825644612312317, -0.14429901540279388]","[0.5453184247016907, 0.3405711352825165, -0.08972079306840897]","[0.48491325974464417, 0.33701005578041077, -0.0861644372344017]","[0.5593405961990356, 0.32217565178871155, -0.2967272400856018]","[0.46532678604125977, 0.31789395213127136, -0.2830539643764496]","[0.5744352340698242, 0.2765949070453644, -0.4902864992618561]","[0.457026869058609, 0.2514575719833374, -0.4695562422275543]","[0.5882856845855713, 0.2593168318271637, -0.5343932509422302]","[0.44917526841163635, 0.23252122104167938, -0.5132913589477539]","[0.5838877558708191, 0.2577308416366577, -0.5335661768913269]","[0.45245638489723206, 0.23041202127933502, -0.5086308717727661]","[0.5756389498710632, 0.26521581411361694, -0.49843162298202515]","[0.4561806619167328, 0.23808926343917847, -0.4762740731239319]","[0.5216902494430542, 0.5372627973556519, 0.0014342203503474593]","[0.48282915353775024, 0.5284707546234131, -0.001593016437254846]","[0.5241171717643738, 0.6653856039047241, 0.03317771479487419]","[0.465674489736557, 0.6510466933250427, 0.01368056982755661]","[0.5178489685058594, 0.7715759873390198, 0.17067399621009827]","[0.4605311453342438, 0.7645637392997742, 0.14280101656913757]","[0.5129386782646179, 0.7785739302635193, 0.17887791991233826]","[0.4639085829257965, 0.7765944600105286, 0.15091636776924133]","[0.5209947228431702, 0.8230211138725281, 0.09173987060785294]","[0.45226821303367615, 0.8158137798309326, 0.06692786514759064]"
"[0.5143993496894836, 0.27795788645744324, -0.17964312434196472]","[0.5190286636352539, 0.26652461290359497, -0.16648493707180023]","[0.5221883058547974, 0.26678818464279175, -0.16646604239940643]","[0.5251346826553345, 0.2672000527381897, -0.1664448082447052]","[0.5100225210189819, 0.26588889956474304, -0.1646859496831894]","[0.50746089220047, 0.26587679982185364, -0.1646522879600525]","[0.5051394104957581, 0.26612430810928345, -0.16457805037498474]","[0.5291570425033569, 0.2730850875377655, -0.09175629168748856]","[0.5032811760902405, 0.27211031317710876, -0.08290456235408783]","[0.5206575393676758, 0.29250678420066833, -0.15326973795890808]","[0.5097002387046814, 0.29091817140579224, -0.15056665241718292]","[0.5446265935897827, 0.3480948805809021, -0.09228777885437012]","[0.484210729598999, 0.3439548909664154, -0.09175588190555573]","[0.5576879382133484, 0.3292432129383087, -0.29932624101638794]","[0.4647182822227478, 0.3197996914386749, -0.29121798276901245]","[0.5745046734809875, 0.2794046998023987, -0.49643009901046753]","[0.45597895979881287, 0.25861984491348267, -0.4769160747528076]","[0.5894972681999207, 0.26237618923187256, -0.5415288209915161]","[0.44762077927589417, 0.2389323115348816, -0.5214873552322388]","[0.5849863290786743, 0.2592301070690155, -0.5411182045936584]","[0.4515654444694519, 0.2367887943983078, -0.5155066251754761]","[0.5758565664291382, 0.266500324010849, -0.5050166845321655]","[0.4555487036705017, 0.245768204331398, -0.48324745893478394]","[0.5216045379638672, 0.5434401631355286, 0.0026077483780682087]","[0.48259276151657104, 0.535434365272522, -0.0027597579173743725]","[0.5251387357711792, 0.6682978868484497, 0.0392538383603096]","[0.4657430648803711, 0.6530956029891968, 0.03100772760808468]","[0.5179092288017273, 0.7700628638267517, 0.1975756287574768]","[0.46081551909446716, 0.7642247676849365, 0.18782056868076324]","[0.5129892826080322, 0.7764092087745667, 0.2084028422832489]","[0.4641261696815491, 0.7759773135185242, 0.19918283820152283]","[0.5213052034378052, 0.8218467831611633, 0.12307790666818619]","[0.45310941338539124, 0.8154650330543518, 0.11756322532892227]"
