NOSE,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE_OUTER,LEFT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_RIGHT,LEFT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,RIGHT_WRIST,LEFT_PINKY,RIGHT_PINKY,LEFT_INDEX,RIGHT_INDEX,LEFT_THUMB,RIGHT_THUMB,LEFT_HIP,RIGHT_HIP,LEFT_KNEE,RIGHT_KNEE,LEFT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX
"[0.5026548504829407, 0.18714125454425812, -0.024006828665733337]","[0.5091817378997803, 0.17070642113685608, -0.038981564342975616]","[0.5106498003005981, 0.1702139675617218, -0.03900299221277237]","[0.5121660828590393, 0.16970020532608032, -0.038960300385951996]","[0.5083492994308472, 0.17075982689857483, -0.015435924753546715]","[0.5092484354972839, 0.17024409770965576, -0.015451705083251]","[0.5102862119674683, 0.16965672373771667, -0.015443002805113792]","[0.5222821235656738, 0.17614313960075378, -0.07398513704538345]","[0.5203816890716553, 0.17572563886642456, 0.03105674311518669]","[0.5053367018699646, 0.20125997066497803, -0.03429924696683884]","[0.50392085313797, 0.2023632824420929, -0.003606292884796858]","[0.5241590738296509, 0.24190470576286316, -0.13810226321220398]","[0.5096744298934937, 0.26359933614730835, 0.1067495122551918]","[0.4495704770088196, 0.22696907818317413, -0.1927482634782791]","[0.4501267373561859, 0.25748109817504883, 0.14731073379516602]","[0.3896913528442383, 0.20283110439777374, -0.1861301064491272]","[0.39456096291542053, 0.24694521725177765, 0.11059538275003433]","[0.3704547882080078, 0.1972235143184662, -0.21319887042045593]","[0.3828926682472229, 0.23548516631126404, 0.11191059648990631]","[0.36973947286605835, 0.1939840316772461, -0.19327838718891144]","[0.3809133470058441, 0.23269759118556976, 0.08482576906681061]","[0.3758719563484192, 0.2005801498889923, -0.17904891073703766]","[0.38432738184928894, 0.23702460527420044, 0.09651049226522446]","[0.5106905698776245, 0.4911234974861145, -0.07174424827098846]","[0.5009436011314392, 0.478945791721344, 0.07147368788719177]","[0.4977308213710785, 0.6472756862640381, -0.030902694910764694]","[0.49518781900405884, 0.6301363706588745, 0.11715675890445709]","[0.5024210214614868, 0.8071533441543579, 0.009468728676438332]","[0.4958018660545349, 0.7432548403739929, 0.19224657118320465]","[0.5112097859382629, 0.8374052047729492, 0.010511538945138454]","[0.498835951089859, 0.7596151828765869, 0.1988547444343567]","[0.4632822871208191, 0.8317198157310486, -0.056965697556734085]","[0.46157875657081604, 0.772517204284668, 0.16606174409389496]"
"[0.5030310153961182, 0.18720382452011108, -0.02166522666811943]","[0.5094894170761108, 0.1708310842514038, -0.03715258836746216]","[0.511015772819519, 0.1704656481742859, -0.037184733897447586]","[0.5126065015792847, 0.17013192176818848, -0.03714633733034134]","[0.5084707736968994, 0.1707659512758255, -0.012834019958972931]","[0.5092969536781311, 0.1702464371919632, -0.012834729626774788]","[0.510291576385498, 0.16965879499912262, -0.012814445421099663]","[0.5229933857917786, 0.1771707683801651, -0.07382360845804214]","[0.5204076766967773, 0.17614391446113586, 0.03418178856372833]","[0.5057675242424011, 0.20150035619735718, -0.03255626931786537]","[0.5040966868400574, 0.20236600935459137, -0.0008676274446770549]","[0.5281681418418884, 0.24192894995212555, -0.14241722226142883]","[0.5113586783409119, 0.2633306384086609, 0.11712199449539185]","[0.4530526101589203, 0.2271924912929535, -0.19863788783550262]","[0.4509817659854889, 0.25874873995780945, 0.16741392016410828]","[0.39004144072532654, 0.2035657912492752, -0.19004876911640167]","[0.3958336114883423, 0.2523939907550812, 0.13349390029907227]","[0.37071728706359863, 0.1980239450931549, -0.21704646944999695]","[0.38284915685653687, 0.23879258334636688, 0.13666072487831116]","[0.3697411119937897, 0.19525845348834991, -0.1967475861310959]","[0.38076210021972656, 0.23529207706451416, 0.10961109399795532]","[0.3758840262889862, 0.20124928653240204, -0.1821313351392746]","[0.3843335509300232, 0.2391800731420517, 0.11941500753164291]","[0.510867178440094, 0.4882926940917969, -0.07393868267536163]","[0.5004140138626099, 0.47729092836380005, 0.07368207722902298]","[0.49769073724746704, 0.6469393968582153, -0.03517792373895645]","[0.49311065673828125, 0.6280519366264343, 0.13062764704227448]","[0.5023657083511353, 0.8038036823272705, -0.0015200476627796888]","[0.49590396881103516, 0.7444273829460144, 0.21561464667320251]","[0.511085033416748, 0.836863100528717, -0.0008358900668099523]","[0.49916619062423706, 0.7598138451576233, 0.22366058826446533]","[0.4634735584259033, 0.8326905965805054, -0.06784014403820038]","[0.46175646781921387, 0.7701927423477173, 0.19551105797290802]"
"[0.5032915472984314, 0.1852601319551468, -0.02484876848757267]","[0.5097283720970154, 0.16935640573501587, -0.04071488231420517]","[0.5112437605857849, 0.16923797130584717, -0.04074897989630699]","[0.5128200054168701, 0.1691831648349762, -0.040707774460315704]","[0.5086667537689209, 0.16903938353061676, -0.015556992962956429]","[0.5094431638717651, 0.16861455142498016, -0.015552853234112263]","[0.5103797316551208, 0.16819864511489868, -0.015526081435382366]","[0.5231042504310608, 0.1769820898771286, -0.07868050038814545]","[0.5204399824142456, 0.17556795477867126, 0.03302781656384468]","[0.506043553352356, 0.20041713118553162, -0.036186061799526215]","[0.5044056177139282, 0.20070858299732208, -0.0034861669410020113]","[0.5292505621910095, 0.24206241965293884, -0.15080025792121887]","[0.5120487809181213, 0.262620747089386, 0.11581961810588837]","[0.4544960856437683, 0.22963593900203705, -0.20663607120513916]","[0.45173484086990356, 0.259090393781662, 0.1638105809688568]","[0.3902101516723633, 0.20484396815299988, -0.20225724577903748]","[0.3966427445411682, 0.25323328375816345, 0.12731346487998962]","[0.3708952069282532, 0.20060192048549652, -0.23177769780158997]","[0.3828887343406677, 0.24056829512119293, 0.12965668737888336]","[0.36972230672836304, 0.19916780292987823, -0.21214620769023895]","[0.3808087706565857, 0.23719707131385803, 0.1021912470459938]","[0.37589603662490845, 0.2036580592393875, -0.19454218447208405]","[0.3847805857658386, 0.2413863092660904, 0.1130547896027565]","[0.5112026929855347, 0.4866465628147125, -0.07585340738296509]","[0.5004350543022156, 0.475883811712265, 0.07561764121055603]","[0.49756336212158203, 0.6457746624946594, -0.042030952870845795]","[0.4925411343574524, 0.6246398687362671, 0.14500877261161804]","[0.5023683309555054, 0.8027786016464233, -0.016798872500658035]","[0.495979368686676, 0.7443981766700745, 0.23639178276062012]","[0.5110036134719849, 0.8367659449577332, -0.017233608290553093]","[0.49921584129333496, 0.7594212293624878, 0.2450355738401413]","[0.4636762738227844, 0.8335639238357544, -0.08735255151987076]","[0.4618263840675354, 0.7683538794517517, 0.21907082200050354]"
"[0.5034055113792419, 0.1823972910642624, -0.02398507669568062]","[0.5099042057991028, 0.16746847331523895, -0.03999917954206467]","[0.511403501033783, 0.16756297647953033, -0.040033213794231415]","[0.5129603743553162, 0.16776832938194275, -0.03999016433954239]","[0.5088567733764648, 0.16704030334949493, -0.014737360179424286]","[0.5096210241317749, 0.16673532128334045, -0.014732425101101398]","[0.5105249285697937, 0.1664966642856598, -0.01470443606376648]","[0.5231584310531616, 0.17650558054447174, -0.07823330163955688]","[0.5204683542251587, 0.17480508983135223, 0.033337339758872986]","[0.5061731934547424, 0.19832810759544373, -0.03564097359776497]","[0.5045694708824158, 0.19812814891338348, -0.00281748385168612]","[0.5295124650001526, 0.2421409636735916, -0.14914946258068085]","[0.5124844312667847, 0.2623412609100342, 0.11713413894176483]","[0.4552749991416931, 0.2337597906589508, -0.20403580367565155]","[0.45264333486557007, 0.26071035861968994, 0.16627642512321472]","[0.39077916741371155, 0.20748315751552582, -0.19882306456565857]","[0.39745616912841797, 0.2557947337627411, 0.1308712661266327]","[0.37240466475486755, 0.20293791592121124, -0.22745755314826965]","[0.3879597783088684, 0.24145938456058502, 0.1337108016014099]","[0.37056460976600647, 0.20197366178035736, -0.20757368206977844]","[0.3846997022628784, 0.2379346787929535, 0.1063266396522522]","[0.3767719566822052, 0.20588961243629456, -0.1913796365261078]","[0.3856915831565857, 0.24389930069446564, 0.11678482592105865]","[0.5113241672515869, 0.4857594072818756, -0.0760781317949295]","[0.5004380941390991, 0.47509074211120605, 0.07583998888731003]","[0.4975355267524719, 0.6453731060028076, -0.043559957295656204]","[0.4921119809150696, 0.6234859228134155, 0.1409512460231781]","[0.5023654103279114, 0.8026317358016968, -0.020048072561621666]","[0.4960661828517914, 0.7444474101066589, 0.22677919268608093]","[0.5107941031455994, 0.8367665410041809, -0.020648853853344917]","[0.4993484914302826, 0.7593871355056763, 0.23478929698467255]","[0.4638981819152832, 0.8342715501785278, -0.09016437828540802]","[0.46191874146461487, 0.767549991607666, 0.2083054780960083]"
"[0.5034594535827637, 0.18044060468673706, -0.0203188955783844]","[0.5099631547927856, 0.1661490499973297, -0.03637078031897545]","[0.5114390254020691, 0.1663159728050232, -0.03640598803758621]","[0.5129754543304443, 0.16660656034946442, -0.036363616585731506]","[0.5089688301086426, 0.16571775078773499, -0.011246329173445702]","[0.5097416639328003, 0.16547508537769318, -0.011243246495723724]","[0.5106419920921326, 0.1653146594762802, -0.011220375075936317]","[0.5231555700302124, 0.17577946186065674, -0.07604901492595673]","[0.5205090045928955, 0.17408350110054016, 0.03561334311962128]","[0.5062183141708374, 0.1964869201183319, -0.03227417916059494]","[0.5046766996383667, 0.19609014689922333, 0.0003610139829106629]","[0.5292644500732422, 0.24212919175624847, -0.14787514507770538]","[0.5128110647201538, 0.2623443305492401, 0.11991791427135468]","[0.45552366971969604, 0.23545204102993011, -0.20316621661186218]","[0.45348501205444336, 0.2640446126461029, 0.16994605958461761]","[0.39146119356155396, 0.2086310237646103, -0.19515544176101685]","[0.39833560585975647, 0.25864946842193604, 0.13592782616615295]","[0.37388208508491516, 0.2029801458120346, -0.2223125398159027]","[0.38744494318962097, 0.2464437633752823, 0.13935285806655884]","[0.37174275517463684, 0.2019188106060028, -0.20295369625091553]","[0.38440147042274475, 0.24049493670463562, 0.11240508407354355]","[0.3778155446052551, 0.20618638396263123, -0.1872093677520752]","[0.38644447922706604, 0.2463758885860443, 0.12205614894628525]","[0.511335551738739, 0.4852689504623413, -0.07616103440523148]","[0.5004303455352783, 0.47488582134246826, 0.07591593265533447]","[0.49753338098526, 0.6453917026519775, -0.04182023927569389]","[0.4918075203895569, 0.6237555146217346, 0.13807716965675354]","[0.5023393034934998, 0.802687406539917, -0.013548174872994423]","[0.4960705637931824, 0.7450457215309143, 0.222159743309021]","[0.5105689167976379, 0.8367834091186523, -0.013585683889687061]","[0.49942150712013245, 0.7595781087875366, 0.23000864684581757]","[0.4639749526977539, 0.8351001143455505, -0.08203957974910736]","[0.4619685113430023, 0.7673570513725281, 0.20318913459777832]"
"[0.5034685730934143, 0.1803552210330963, -0.018493305891752243]","[0.5099626779556274, 0.16606472432613373, -0.03434566408395767]","[0.5114353895187378, 0.16620300710201263, -0.03438040614128113]","[0.5129624009132385, 0.1664586216211319, -0.03433797508478165]","[0.5089707374572754, 0.16565658152103424, -0.009461467154324055]","[0.5097432136535645, 0.16540588438510895, -0.00946206133812666]","[0.5106426477432251, 0.16522905230522156, -0.009443772956728935]","[0.5231470465660095, 0.1754951924085617, -0.07402858883142471]","[0.5205335021018982, 0.17390009760856628, 0.03687435761094093]","[0.5062377452850342, 0.1961178034543991, -0.030384402722120285]","[0.5047243237495422, 0.19570375978946686, 0.0019463086500763893]","[0.529079258441925, 0.24209444224834442, -0.14742937684059143]","[0.5130181908607483, 0.2625957131385803, 0.12046809494495392]","[0.45536160469055176, 0.2350756824016571, -0.20294399559497833]","[0.45422300696372986, 0.2659948468208313, 0.16919592022895813]","[0.3916546404361725, 0.20846804976463318, -0.19451798498630524]","[0.3986974358558655, 0.25916787981987, 0.1348053365945816]","[0.3741578459739685, 0.20286725461483002, -0.22135379910469055]","[0.3871065676212311, 0.2466234415769577, 0.13812044262886047]","[0.3719794750213623, 0.20159980654716492, -0.20177237689495087]","[0.38419944047927856, 0.24050180613994598, 0.1110437735915184]","[0.378057599067688, 0.20605117082595825, -0.18631787598133087]","[0.3866841197013855, 0.24638983607292175, 0.12086564302444458]","[0.5113378763198853, 0.48522859811782837, -0.07621006667613983]","[0.5004487037658691, 0.47493916749954224, 0.07596047222614288]","[0.4975198805332184, 0.6454702615737915, -0.0408947728574276]","[0.49162864685058594, 0.6239274144172668, 0.1362670212984085]","[0.502281665802002, 0.8027494549751282, -0.010558579117059708]","[0.496065616607666, 0.7454999089241028, 0.2192395180463791]","[0.5103719234466553, 0.8368187546730042, -0.010388465598225594]","[0.49944454431533813, 0.7597875595092773, 0.22697992622852325]","[0.4639812409877777, 0.8354502320289612, -0.07872080057859421]","[0.46200352907180786, 0.7673464417457581, 0.19962413609027863]"
"[0.5033379793167114, 0.18051311373710632, -0.014380705542862415]","[0.5098292231559753, 0.16605503857135773, -0.03022809885442257]","[0.5113016366958618, 0.16616058349609375, -0.030262166634202003]","[0.5128270387649536, 0.16637936234474182, -0.030220430344343185]","[0.5088209509849548, 0.16567642986774445, -0.0055794683285057545]","[0.509583055973053, 0.1654135137796402, -0.005582805722951889]","[0.5104677081108093, 0.1652161329984665, -0.005569029599428177]","[0.5231096744537354, 0.17526888847351074, -0.06998147070407867]","[0.5205351710319519, 0.17372184991836548, 0.03966478258371353]","[0.5062181353569031, 0.19613943994045258, -0.0262584425508976]","[0.5047094821929932, 0.19574779272079468, 0.0056978873908519745]","[0.5289695262908936, 0.24185998737812042, -0.1449284553527832]","[0.5135459899902344, 0.26266732811927795, 0.1230575293302536]","[0.4551834464073181, 0.23479798436164856, -0.19780102372169495]","[0.4550004005432129, 0.26647573709487915, 0.1691788136959076]","[0.3916793465614319, 0.20875900983810425, -0.18907567858695984]","[0.39900070428848267, 0.2598648965358734, 0.1349492371082306]","[0.3740936815738678, 0.2028036117553711, -0.21573391556739807]","[0.3869182765483856, 0.2473374307155609, 0.13855603337287903]","[0.37198981642723083, 0.20145396888256073, -0.19576773047447205]","[0.3840881884098053, 0.24106940627098083, 0.11166475713253021]","[0.3780524730682373, 0.20601899921894073, -0.18080732226371765]","[0.38703009486198425, 0.24693399667739868, 0.12112438678741455]","[0.5117229223251343, 0.4844936728477478, -0.07624579966068268]","[0.5016823410987854, 0.4747636616230011, 0.07599294185638428]","[0.49732890725135803, 0.6454809904098511, -0.0404750220477581]","[0.4916294515132904, 0.6240791082382202, 0.13503551483154297]","[0.5022546052932739, 0.802774965763092, -0.009481625631451607]","[0.4960837960243225, 0.746181309223175, 0.21729350090026855]","[0.5103040933609009, 0.8368285298347473, -0.009337780997157097]","[0.49949973821640015, 0.7602024674415588, 0.22492262721061707]","[0.46399226784706116, 0.8355392217636108, -0.07669617980718613]","[0.4621913433074951, 0.7674161195755005, 0.19692064821720123]"
"[0.5032657384872437, 0.18065017461776733, -0.015244911424815655]","[0.5097254514694214, 0.1661190539598465, -0.031113896518945694]","[0.5111888647079468, 0.1662062257528305, -0.031147107481956482]","[0.5127066373825073, 0.16640694439411163, -0.031106095761060715]","[0.5087069869041443, 0.1657518595457077, -0.006499254610389471]","[0.5094476938247681, 0.1654788702726364, -0.006503279320895672]","[0.5103048086166382, 0.16526834666728973, -0.006491184234619141]","[0.5230680704116821, 0.17530322074890137, -0.07040119171142578]","[0.5205279588699341, 0.1737293004989624, 0.03904000297188759]","[0.5061750411987305, 0.1961686611175537, -0.02707810327410698]","[0.5046766996383667, 0.19587184488773346, 0.004823424853384495]","[0.52890944480896, 0.24178530275821686, -0.14537958800792694]","[0.5150622129440308, 0.26239562034606934, 0.12157516181468964]","[0.45520320534706116, 0.23461732268333435, -0.1977851539850235]","[0.4564761221408844, 0.2661782205104828, 0.16807439923286438]","[0.3915826678276062, 0.20938748121261597, -0.1889972984790802]","[0.3993336260318756, 0.2605075240135193, 0.13284245133399963]","[0.37362462282180786, 0.20279859006404877, -0.21571683883666992]","[0.38678866624832153, 0.24813060462474823, 0.13633140921592712]","[0.37159061431884766, 0.20135793089866638, -0.1956043392419815]","[0.3840804696083069, 0.24311870336532593, 0.10940929502248764]","[0.3776307702064514, 0.20611442625522614, -0.18072424829006195]","[0.3872694671154022, 0.24804671108722687, 0.11898694932460785]","[0.5130713582038879, 0.48458099365234375, -0.07632164657115936]","[0.5042839646339417, 0.4747304618358612, 0.07606853544712067]","[0.4966869354248047, 0.6451777219772339, -0.03998803347349167]","[0.4915751814842224, 0.6233797073364258, 0.13678871095180511]","[0.502259373664856, 0.8025462627410889, -0.008655669167637825]","[0.49616819620132446, 0.7462098598480225, 0.22368045151233673]","[0.5102907419204712, 0.8368110656738281, -0.008637228980660439]","[0.49952808022499084, 0.7602890729904175, 0.2321055382490158]","[0.464068740606308, 0.8355320692062378, -0.07298237085342407]","[0.46243518590927124, 0.7672827243804932, 0.20835991203784943]"
"[0.5026233792304993, 0.18320982158184052, -0.01563461869955063]","[0.5090783834457397, 0.1673559993505478, -0.031483206897974014]","[0.5105443596839905, 0.16740301251411438, -0.031515512615442276]","[0.5120911598205566, 0.16753382980823517, -0.03147535398602486]","[0.5079857110977173, 0.16689367592334747, -0.006974452640861273]","[0.5086575150489807, 0.16656462848186493, -0.006978997029364109]","[0.5094345808029175, 0.1662827879190445, -0.006969274487346411]","[0.5226868391036987, 0.17627164721488953, -0.07067406177520752]","[0.520000696182251, 0.17454937100410461, 0.038871534168720245]","[0.5057709813117981, 0.1989433765411377, -0.027488380670547485]","[0.5042092800140381, 0.19843341410160065, 0.004316370002925396]","[0.528812825679779, 0.2420380413532257, -0.1451020985841751]","[0.5151962041854858, 0.2623979449272156, 0.12138290703296661]","[0.4551145136356354, 0.2342110276222229, -0.19669027626514435]","[0.45679694414138794, 0.2653246819972992, 0.16788189113140106]","[0.3913772404193878, 0.2093275934457779, -0.18761619925498962]","[0.39925339818000793, 0.2604967951774597, 0.1317286193370819]","[0.3733251690864563, 0.20259727537631989, -0.21417567133903503]","[0.38668447732925415, 0.2479393631219864, 0.135175421833992]","[0.37133723497390747, 0.20125484466552734, -0.19346800446510315]","[0.38403046131134033, 0.24282139539718628, 0.10844779014587402]","[0.3772989809513092, 0.20605909824371338, -0.17929068207740784]","[0.3872533440589905, 0.24787630140781403, 0.11793825775384903]","[0.5154991149902344, 0.48462021350860596, -0.07629075646400452]","[0.5055574774742126, 0.47475123405456543, 0.07603725790977478]","[0.49548935890197754, 0.6451265811920166, -0.040167246013879776]","[0.4909338057041168, 0.6234498620033264, 0.13217511773109436]","[0.5022778511047363, 0.8024057745933533, -0.007860789075493813]","[0.49616941809654236, 0.7462521195411682, 0.22135886549949646]","[0.5104010701179504, 0.8367117047309875, -0.007855469360947609]","[0.4995315670967102, 0.7602444291114807, 0.229254812002182]","[0.46416473388671875, 0.8356825709342957, -0.06928534805774689]","[0.46243685483932495, 0.7673200964927673, 0.20460650324821472]"
"[0.5003732442855835, 0.19038136303424835, -0.015913963317871094]","[0.5070093870162964, 0.17303049564361572, -0.03165914863348007]","[0.5084927082061768, 0.1728110909461975, -0.031690679490566254]","[0.5100144147872925, 0.17261949181556702, -0.03164912015199661]","[0.5059114098548889, 0.1724102795124054, -0.007306675426661968]","[0.5066812634468079, 0.17174474895000458, -0.0073114484548568726]","[0.5075623989105225, 0.17107725143432617, -0.007297982927411795]","[0.5212324261665344, 0.17997100949287415, -0.07151436060667038]","[0.5186800360679626, 0.1781272441148758, 0.03856940194964409]","[0.5040959715843201, 0.20570588111877441, -0.027594098821282387]","[0.5023213028907776, 0.20521888136863708, 0.004091735929250717]","[0.5288951396942139, 0.24605165421962738, -0.1450662910938263]","[0.514631450176239, 0.26249635219573975, 0.1183071956038475]","[0.45553427934646606, 0.23422254621982574, -0.19743570685386658]","[0.4567030966281891, 0.26147815585136414, 0.15987560153007507]","[0.3910834789276123, 0.20921951532363892, -0.1900622695684433]","[0.39825910329818726, 0.256887823343277, 0.12076149135828018]","[0.37242424488067627, 0.202551931142807, -0.2176705300807953]","[0.3846544027328491, 0.24256525933742523, 0.12269385904073715]","[0.3704036772251129, 0.20114296674728394, -0.1970302015542984]","[0.3814474046230316, 0.23812896013259888, 0.09575318545103073]","[0.3765324652194977, 0.20602738857269287, -0.18197081983089447]","[0.38622426986694336, 0.2438073307275772, 0.10680387169122696]","[0.5172427296638489, 0.4876820743083954, -0.07624545693397522]","[0.5058957934379578, 0.4767155945301056, 0.07599543035030365]","[0.4938019812107086, 0.6464480757713318, -0.0407794788479805]","[0.4896306097507477, 0.6259191632270813, 0.1209683045744896]","[0.5020970106124878, 0.8026127219200134, -0.00529867596924305]","[0.4959719777107239, 0.7491018772125244, 0.2119167149066925]","[0.5104148983955383, 0.8369973301887512, -0.003940691705793142]","[0.49953460693359375, 0.761012852191925, 0.22063426673412323]","[0.46416378021240234, 0.836808443069458, -0.06274889409542084]","[0.4626583158969879, 0.7699996829032898, 0.19615359604358673]"
