NOSE,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE_OUTER,LEFT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_RIGHT,LEFT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,RIGHT_WRIST,LEFT_PINKY,RIGHT_PINKY,LEFT_INDEX,RIGHT_INDEX,LEFT_THUMB,RIGHT_THUMB,LEFT_HIP,RIGHT_HIP,LEFT_KNEE,RIGHT_KNEE,LEFT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX
"[0.4761466085910797, 0.2205890715122223, -0.15509621798992157]","[0.4806962013244629, 0.20674076676368713, -0.1462026983499527]","[0.48311251401901245, 0.20671075582504272, -0.14620231091976166]","[0.48546695709228516, 0.20644600689411163, -0.14620524644851685]","[0.4711180627346039, 0.20778918266296387, -0.14618384838104248]","[0.46819519996643066, 0.20821276307106018, -0.14618603885173798]","[0.4658435881137848, 0.208579421043396, -0.14615148305892944]","[0.49040335416793823, 0.21255233883857727, -0.0736365020275116]","[0.4633123278617859, 0.2153163105249405, -0.07383354008197784]","[0.48247069120407104, 0.23646284639835358, -0.12723590433597565]","[0.4714469015598297, 0.23707716166973114, -0.12727665901184082]","[0.5122441053390503, 0.2940921187400818, -0.0374458022415638]","[0.4474950432777405, 0.29623502492904663, -0.05667857453227043]","[0.5338108539581299, 0.3324930965900421, -0.16511286795139313]","[0.42781010270118713, 0.342043936252594, -0.19234910607337952]","[0.553395688533783, 0.33259302377700806, -0.3554737865924835]","[0.4120621681213379, 0.3395999073982239, -0.37434929609298706]","[0.5668820142745972, 0.3337305188179016, -0.3889978528022766]","[0.40241295099258423, 0.33574479818344116, -0.40975961089134216]","[0.5626031756401062, 0.3289916515350342, -0.3950495421886444]","[0.40839919447898865, 0.33001989126205444, -0.4122532308101654]","[0.5565435290336609, 0.3297920525074005, -0.36307257413864136]","[0.4141952395439148, 0.33151429891586304, -0.38094964623451233]","[0.5026437640190125, 0.4970356523990631, 0.006877572741359472]","[0.46236473321914673, 0.5000702738761902, -0.0069799115881323814]","[0.5110076069831848, 0.6380069255828857, -0.0010376780992373824]","[0.45470523834228516, 0.640204131603241, 0.03176427260041237]","[0.5155823230743408, 0.7357831597328186, 0.1670708954334259]","[0.4549035131931305, 0.7405564785003662, 0.20647788047790527]","[0.510704517364502, 0.7455042600631714, 0.17969761788845062]","[0.4589506983757019, 0.7493523359298706, 0.22075971961021423]","[0.5214212536811829, 0.7887278199195862, 0.10568370670080185]","[0.4488990902900696, 0.791662335395813, 0.14993713796138763]"
"[0.4760318398475647, 0.21776504814624786, -0.15527044236660004]","[0.48056846857070923, 0.203916534781456, -0.14629104733467102]","[0.4830958843231201, 0.2040219008922577, -0.14629405736923218]","[0.48535895347595215, 0.20386965572834015, -0.14630207419395447]","[0.4709874987602234, 0.2045140564441681, -0.14643101394176483]","[0.4681176543235779, 0.20479021966457367, -0.1464385837316513]","[0.4656759202480316, 0.2051318734884262, -0.14640633761882782]","[0.4901602864265442, 0.20975683629512787, -0.07341798394918442]","[0.46310287714004517, 0.21105530858039856, -0.07403106987476349]","[0.4822126030921936, 0.23366370797157288, -0.12723587453365326]","[0.47128885984420776, 0.23383818566799164, -0.1273447871208191]","[0.5114980340003967, 0.2898845374584198, -0.035179607570171356]","[0.4469022750854492, 0.29237714409828186, -0.051974475383758545]","[0.5339512825012207, 0.32857784628868103, -0.14441515505313873]","[0.42757001519203186, 0.33754512667655945, -0.16824546456336975]","[0.5531190037727356, 0.32882124185562134, -0.3225560784339905]","[0.4121309816837311, 0.33426633477211, -0.346835196018219]","[0.5651427507400513, 0.3298604190349579, -0.35606837272644043]","[0.40242892503738403, 0.3306034207344055, -0.38205090165138245]","[0.5612765550613403, 0.32336950302124023, -0.3644338846206665]","[0.4083928167819977, 0.3248119652271271, -0.386356920003891]","[0.5557548403739929, 0.3243713974952698, -0.33137181401252747]","[0.4141126275062561, 0.3264875113964081, -0.35413381457328796]","[0.5024343729019165, 0.4955645203590393, 0.005756451282650232]","[0.46234560012817383, 0.4996970593929291, -0.005839192308485508]","[0.5112534165382385, 0.633122444152832, 0.0052964710630476475]","[0.45449739694595337, 0.636600911617279, 0.03162376955151558]","[0.5156236290931702, 0.7343227863311768, 0.1715768277645111]","[0.4548870623111725, 0.7394455671310425, 0.18941450119018555]","[0.5106910467147827, 0.743564784526825, 0.18430103361606598]","[0.4589766561985016, 0.7485544085502625, 0.20199020206928253]","[0.5217103362083435, 0.7834550738334656, 0.11373405158519745]","[0.4488561749458313, 0.7898435592651367, 0.13187287747859955]"
"[0.4758830666542053, 0.2072644829750061, -0.15158329904079437]","[0.4804436266422272, 0.1945497691631317, -0.14256618916988373]","[0.4830755591392517, 0.19478458166122437, -0.1425720900297165]","[0.48517465591430664, 0.19540010392665863, -0.1425873190164566]","[0.47086095809936523, 0.1950741857290268, -0.1426912099123001]","[0.46804624795913696, 0.19532880187034607, -0.14270168542861938]","[0.46535754203796387, 0.19598565995693207, -0.14266718924045563]","[0.4895663857460022, 0.20221807062625885, -0.07105885446071625]","[0.46258744597435, 0.20333251357078552, -0.07196158915758133]","[0.4819797873497009, 0.2239370346069336, -0.12401320040225983]","[0.470909059047699, 0.22398491203784943, -0.12419108301401138]","[0.510362982749939, 0.2820144593715668, -0.036431681364774704]","[0.44573116302490234, 0.28548169136047363, -0.04806101694703102]","[0.5334293246269226, 0.3221800625324249, -0.1505279242992401]","[0.42504072189331055, 0.32544848322868347, -0.16603341698646545]","[0.5506911277770996, 0.31928637623786926, -0.3306024670600891]","[0.41200366616249084, 0.3217082619667053, -0.34180891513824463]","[0.5620799660682678, 0.3228263854980469, -0.3650147020816803]","[0.402423620223999, 0.319653183221817, -0.3770829737186432]","[0.5584343671798706, 0.31614404916763306, -0.37213951349258423]","[0.40854334831237793, 0.314603716135025, -0.3794897496700287]","[0.5530580878257751, 0.316081166267395, -0.33892518281936646]","[0.4141385555267334, 0.3160269558429718, -0.34834763407707214]","[0.502137303352356, 0.49180158972740173, 0.0038752048276364803]","[0.46202707290649414, 0.49682989716529846, -0.003967448603361845]","[0.5114462375640869, 0.627427875995636, 0.022127797827124596]","[0.4540634751319885, 0.6303338408470154, 0.033096231520175934]","[0.5150587558746338, 0.7296589612960815, 0.19042637944221497]","[0.4547096788883209, 0.736254096031189, 0.18143676221370697]","[0.5098497867584229, 0.7397674322128296, 0.20364360511302948]","[0.4589713513851166, 0.7470290064811707, 0.19310669600963593]","[0.5214383602142334, 0.777064859867096, 0.1373814046382904]","[0.4480364918708801, 0.785306990146637, 0.12622645497322083]"
"[0.47539862990379333, 0.20057055354118347, -0.12866993248462677]","[0.4800087809562683, 0.18807578086853027, -0.11965180933475494]","[0.48291534185409546, 0.188312366604805, -0.11965658515691757]","[0.48486095666885376, 0.18916919827461243, -0.11966565996408463]","[0.47039610147476196, 0.1884850114583969, -0.11984826624393463]","[0.4676622748374939, 0.1886487603187561, -0.11985858529806137]","[0.46461009979248047, 0.18946033716201782, -0.11983058601617813]","[0.48876938223838806, 0.19623783230781555, -0.05303362011909485]","[0.46188822388648987, 0.19736887514591217, -0.054397813975811005]","[0.48152971267700195, 0.2173902988433838, -0.10295480489730835]","[0.47016268968582153, 0.21735699474811554, -0.10322365909814835]","[0.5094048380851746, 0.2755430042743683, -0.027244511991739273]","[0.44410404562950134, 0.2803182601928711, -0.031891729682683945]","[0.531878650188446, 0.3152737021446228, -0.12869349122047424]","[0.4225528836250305, 0.3206656873226166, -0.1357700228691101]","[0.5492650270462036, 0.31374454498291016, -0.28836068511009216]","[0.4110390543937683, 0.31591808795928955, -0.2954137921333313]","[0.5604009032249451, 0.316940039396286, -0.31891685724258423]","[0.40199756622314453, 0.3128688931465149, -0.3270924985408783]","[0.5568349957466125, 0.3110734820365906, -0.32551485300064087]","[0.40854620933532715, 0.30786609649658203, -0.3288465738296509]","[0.5512869358062744, 0.3112576901912689, -0.2961016297340393]","[0.4140917658805847, 0.3094802498817444, -0.301138699054718]","[0.5018452405929565, 0.48653385043144226, 0.002228943631052971]","[0.4616822302341461, 0.49194157123565674, -0.002343370346352458]","[0.5116536617279053, 0.6234198212623596, 0.018241969868540764]","[0.4534284472465515, 0.6259084939956665, 0.023127274587750435]","[0.5144542455673218, 0.723368763923645, 0.18390630185604095]","[0.454315721988678, 0.7306526303291321, 0.14885713160037994]","[0.5092209577560425, 0.7322072982788086, 0.1969657689332962]","[0.45839524269104004, 0.7394154071807861, 0.1588408201932907]","[0.5210568904876709, 0.771541953086853, 0.12946860492229462]","[0.4475019872188568, 0.7793667316436768, 0.09635266661643982]"
"[0.4748046398162842, 0.1958898901939392, -0.11653885990381241]","[0.4794692397117615, 0.18353945016860962, -0.10707245022058487]","[0.48263365030288696, 0.18374459445476532, -0.10706719011068344]","[0.4844932556152344, 0.18460503220558167, -0.10706116259098053]","[0.46978363394737244, 0.18405687808990479, -0.10766664892435074]","[0.4671223759651184, 0.18437720835208893, -0.10767211019992828]","[0.46379804611206055, 0.18527963757514954, -0.1076408252120018]","[0.4880349636077881, 0.1913796067237854, -0.041097693145275116]","[0.4611222743988037, 0.19267363846302032, -0.044653791934251785]","[0.48087963461875916, 0.2127983272075653, -0.09137873351573944]","[0.46940821409225464, 0.2129840850830078, -0.09220081567764282]","[0.5079765319824219, 0.27078977227211, -0.019794132560491562]","[0.44278961420059204, 0.27595722675323486, -0.026287749409675598]","[0.5305030345916748, 0.3098471760749817, -0.12593922019004822]","[0.4196934700012207, 0.31534913182258606, -0.13097158074378967]","[0.5479047894477844, 0.309134840965271, -0.2901591658592224]","[0.41087716817855835, 0.3106837272644043, -0.281963974237442]","[0.5592814087867737, 0.31295180320739746, -0.3216354250907898]","[0.40199097990989685, 0.3078974485397339, -0.3125547766685486]","[0.5550359487533569, 0.3074374198913574, -0.32751667499542236]","[0.4097093939781189, 0.30282101035118103, -0.31292924284935]","[0.5490177273750305, 0.3074173331260681, -0.2977326512336731]","[0.4153037965297699, 0.3042713701725006, -0.286713570356369]","[0.501609206199646, 0.4833744764328003, 0.001936157001182437]","[0.46143221855163574, 0.4888305366039276, -0.002044195309281349]","[0.5116441249847412, 0.6200987100601196, 0.02055540680885315]","[0.4530183672904968, 0.6230098009109497, 0.01953040435910225]","[0.5138636827468872, 0.717085599899292, 0.17035740613937378]","[0.4540194571018219, 0.7228971123695374, 0.13208657503128052]","[0.508696973323822, 0.7255229353904724, 0.18109939992427826]","[0.457716703414917, 0.7298710942268372, 0.14074617624282837]","[0.5208385586738586, 0.7676849961280823, 0.12797841429710388]","[0.4472953677177429, 0.7739860415458679, 0.0816413164138794]"
"[0.47390151023864746, 0.19486482441425323, -0.11716214567422867]","[0.4786715507507324, 0.18252161145210266, -0.10770603269338608]","[0.48200783133506775, 0.18272434175014496, -0.10770417749881744]","[0.4839443266391754, 0.18301743268966675, -0.10770418494939804]","[0.4689669609069824, 0.1826442927122116, -0.10799594968557358]","[0.4663311839103699, 0.18313828110694885, -0.10800331830978394]","[0.4629921019077301, 0.18382322788238525, -0.10797915607690811]","[0.4873568117618561, 0.18882158398628235, -0.041034817695617676]","[0.4603550434112549, 0.18925592303276062, -0.043277062475681305]","[0.4797803461551666, 0.2117135226726532, -0.09156046062707901]","[0.4686872065067291, 0.21157506108283997, -0.09204591810703278]","[0.5073670148849487, 0.26963213086128235, -0.018060017377138138]","[0.4420709013938904, 0.27271339297294617, -0.02124425210058689]","[0.5301848649978638, 0.30807217955589294, -0.11639915406703949]","[0.417715460062027, 0.31251880526542664, -0.11802512407302856]","[0.5473598837852478, 0.30673062801361084, -0.27105316519737244]","[0.4107733368873596, 0.3079424798488617, -0.26470616459846497]","[0.558807373046875, 0.30997234582901, -0.30075913667678833]","[0.40184155106544495, 0.3052549660205841, -0.2941400408744812]","[0.5538957118988037, 0.3047471046447754, -0.306332528591156]","[0.4097118377685547, 0.30056729912757874, -0.29373034834861755]","[0.5479369759559631, 0.3049462139606476, -0.27798518538475037]","[0.4153459668159485, 0.3020605146884918, -0.26889169216156006]","[0.5014306306838989, 0.48133087158203125, 0.0004092846647836268]","[0.4608403742313385, 0.48635780811309814, -0.0005220129387453198]","[0.5116385221481323, 0.6190266609191895, 0.01988360844552517]","[0.45251187682151794, 0.6210688948631287, 0.018749739974737167]","[0.513494610786438, 0.7128837704658508, 0.16960398852825165]","[0.45358991622924805, 0.7181022763252258, 0.13530763983726501]","[0.5085762739181519, 0.7210534811019897, 0.1806616187095642]","[0.45727038383483887, 0.7245175838470459, 0.14463970065116882]","[0.5203975439071655, 0.7642459273338318, 0.12400677055120468]","[0.446452796459198, 0.7710966467857361, 0.08602491021156311]"
"[0.47335726022720337, 0.19394753873348236, -0.11771335452795029]","[0.47814545035362244, 0.1807384043931961, -0.10827749967575073]","[0.4814435839653015, 0.18098294734954834, -0.10827459394931793]","[0.4834047257900238, 0.18119627237319946, -0.10827665030956268]","[0.46844998002052307, 0.18097248673439026, -0.10819111764431]","[0.4657707214355469, 0.18134228885173798, -0.1082024797797203]","[0.4626205861568451, 0.18191397190093994, -0.10817514359951019]","[0.48701176047325134, 0.18768857419490814, -0.04226409271359444]","[0.4600069522857666, 0.18744513392448425, -0.0428738035261631]","[0.4791119694709778, 0.21071091294288635, -0.0925341472029686]","[0.46827927231788635, 0.2104753702878952, -0.09255067259073257]","[0.5073186159133911, 0.2694263160228729, -0.018893346190452576]","[0.4420677721500397, 0.27110588550567627, -0.019825827330350876]","[0.5330885648727417, 0.30774420499801636, -0.11138389259576797]","[0.4182136058807373, 0.31111130118370056, -0.11422344297170639]","[0.548704206943512, 0.3058401942253113, -0.25658896565437317]","[0.4105672240257263, 0.3048288822174072, -0.26340243220329285]","[0.5591017007827759, 0.3087136745452881, -0.28531521558761597]","[0.40144968032836914, 0.3027231693267822, -0.2934792935848236]","[0.5532154440879822, 0.30394446849823, -0.2901812195777893]","[0.40947285294532776, 0.2985651195049286, -0.2940666675567627]","[0.5481189489364624, 0.304443359375, -0.262800008058548]","[0.41523972153663635, 0.3000617027282715, -0.2681424021720886]","[0.5013440251350403, 0.4814988970756531, -0.0006471716915257275]","[0.4605645537376404, 0.48612692952156067, 0.0005278684548102319]","[0.5116432309150696, 0.6173191666603088, 0.020272865891456604]","[0.45220285654067993, 0.6203287839889526, 0.01921473816037178]","[0.5129633545875549, 0.7114393711090088, 0.16348835825920105]","[0.4533076882362366, 0.7151898145675659, 0.1335735023021698]","[0.5081390142440796, 0.7200462222099304, 0.17407697439193726]","[0.45715636014938354, 0.7210717797279358, 0.1425907462835312]","[0.520307183265686, 0.7629263997077942, 0.11709953844547272]","[0.4458952844142914, 0.7692137956619263, 0.08577947318553925]"
"[0.47278642654418945, 0.19356130063533783, -0.12442523241043091]","[0.47757190465927124, 0.17928862571716309, -0.11463548243045807]","[0.48092979192733765, 0.17939342558383942, -0.11463265120983124]","[0.4829360544681549, 0.17971700429916382, -0.11463252454996109]","[0.4679325222969055, 0.1798432618379593, -0.11322864145040512]","[0.46526652574539185, 0.1799892783164978, -0.11324652284383774]","[0.4621811509132385, 0.1805175095796585, -0.11322957277297974]","[0.4866081178188324, 0.18699853122234344, -0.046167872846126556]","[0.4596659541130066, 0.18709394335746765, -0.04509153589606285]","[0.4786277711391449, 0.20995867252349854, -0.09830791503190994]","[0.4677446782588959, 0.20989146828651428, -0.09681884199380875]","[0.5073655247688293, 0.2687114477157593, -0.023667898029088974]","[0.4418417811393738, 0.2701801359653473, -0.026386331766843796]","[0.532997190952301, 0.3073154389858246, -0.12239474058151245]","[0.41861486434936523, 0.3095563054084778, -0.1324121206998825]","[0.5488343834877014, 0.30559206008911133, -0.28417983651161194]","[0.4104207456111908, 0.3032400906085968, -0.29266053438186646]","[0.5587150454521179, 0.30728358030319214, -0.3152671754360199]","[0.4012126922607422, 0.3005717098712921, -0.32475632429122925]","[0.5530807375907898, 0.30203717947006226, -0.3209726810455322]","[0.40916985273361206, 0.29624655842781067, -0.32590752840042114]","[0.5481804609298706, 0.3030543625354767, -0.2913190722465515]","[0.4150047302246094, 0.29782986640930176, -0.2980230450630188]","[0.5013237595558167, 0.4814203083515167, -0.0010077955666929483]","[0.4602586627006531, 0.485903799533844, 0.000889408984221518]","[0.511631190776825, 0.6163089871406555, 0.027268826961517334]","[0.4517533779144287, 0.6201840043067932, 0.02099848911166191]","[0.5125741958618164, 0.7117676734924316, 0.18923798203468323]","[0.45310288667678833, 0.7146056294441223, 0.14785434305667877]","[0.5078620314598083, 0.7206962704658508, 0.20210328698158264]","[0.4570547938346863, 0.7205607891082764, 0.15830965340137482]","[0.520132303237915, 0.7628450393676758, 0.1378222554922104]","[0.44561973214149475, 0.7688972353935242, 0.09614842385053635]"
"[0.47260990738868713, 0.19449375569820404, -0.14139334857463837]","[0.477207750082016, 0.17980621755123138, -0.13196507096290588]","[0.48067745566368103, 0.17982551455497742, -0.13196460902690887]","[0.48265066742897034, 0.18020282685756683, -0.13196930289268494]","[0.46763506531715393, 0.18055206537246704, -0.1312064677476883]","[0.46500954031944275, 0.18085041642189026, -0.13121911883354187]","[0.4618556499481201, 0.1815197765827179, -0.131196528673172]","[0.48638850450515747, 0.18740202486515045, -0.05889091640710831]","[0.45939573645591736, 0.18837887048721313, -0.05739523842930794]","[0.4785238206386566, 0.21070967614650726, -0.11317606270313263]","[0.46756982803344727, 0.2109643518924713, -0.11237277835607529]","[0.5073274374008179, 0.26852360367774963, -0.028902048245072365]","[0.441596657037735, 0.2697768807411194, -0.029090803116559982]","[0.5329435467720032, 0.3064800798892975, -0.1239081621170044]","[0.4187440276145935, 0.30777496099472046, -0.13647538423538208]","[0.5489093661308289, 0.30535316467285156, -0.2924215793609619]","[0.40985846519470215, 0.3034563660621643, -0.29364824295043945]","[0.5583536028862, 0.3057469427585602, -0.3231496214866638]","[0.4004736542701721, 0.29983171820640564, -0.3286168873310089]","[0.5530969500541687, 0.30056270956993103, -0.32888782024383545]","[0.4079820513725281, 0.29483968019485474, -0.3298748731613159]","[0.5483418703079224, 0.302139014005661, -0.2995638847351074]","[0.413978636264801, 0.29667842388153076, -0.2983364462852478]","[0.5013054013252258, 0.48161017894744873, -0.0010891386773437262]","[0.4600124955177307, 0.48617807030677795, 0.0009738382650539279]","[0.5116289854049683, 0.6166238784790039, 0.030402520671486855]","[0.45122426748275757, 0.6208667159080505, 0.022619377821683884]","[0.512518048286438, 0.71232008934021, 0.2050601989030838]","[0.4529033303260803, 0.7139813899993896, 0.16405953466892242]","[0.5078305006027222, 0.7212878465652466, 0.21912582218647003]","[0.4569609761238098, 0.7190553545951843, 0.1763996183872223]","[0.5200170278549194, 0.7630502581596375, 0.15215101838111877]","[0.4454561173915863, 0.7687426209449768, 0.11338251829147339]"
"[0.4725395739078522, 0.19562073051929474, -0.15888847410678864]","[0.477061927318573, 0.18108291923999786, -0.14993509650230408]","[0.4805389940738678, 0.18107005953788757, -0.1499233990907669]","[0.48248711228370667, 0.18130815029144287, -0.14991870522499084]","[0.4674934446811676, 0.1818562150001526, -0.14973874390125275]","[0.4648822247982025, 0.18218816816806793, -0.14974947273731232]","[0.4617536962032318, 0.18284113705158234, -0.14972694218158722]","[0.4863043427467346, 0.18825800716876984, -0.07398257404565811]","[0.4592839181423187, 0.18965524435043335, -0.07357516139745712]","[0.4784615635871887, 0.21178892254829407, -0.1292627602815628]","[0.4675418734550476, 0.21210439503192902, -0.1290389448404312]","[0.5073503255844116, 0.2686058580875397, -0.038348015397787094]","[0.4415530562400818, 0.2695150673389435, -0.049900636076927185]","[0.5327202081680298, 0.30461975932121277, -0.1558295041322708]","[0.41902676224708557, 0.30575019121170044, -0.17856183648109436]","[0.5488147735595703, 0.3046439588069916, -0.3367713689804077]","[0.40974798798561096, 0.3028393089771271, -0.3524598181247711]","[0.5578564405441284, 0.3042711019515991, -0.3719535768032074]","[0.39988231658935547, 0.2987687587738037, -0.38936933875083923]","[0.5528935194015503, 0.2997497320175171, -0.3780863285064697]","[0.40725675225257874, 0.29410380125045776, -0.3904196619987488]","[0.5482674837112427, 0.30164211988449097, -0.34519821405410767]","[0.41350308060646057, 0.29618480801582336, -0.35854753851890564]","[0.5012757778167725, 0.4819867014884949, -0.001049928367137909]","[0.4597381055355072, 0.4865625500679016, 0.0009341184049844742]","[0.511637806892395, 0.617296576499939, 0.033293016254901886]","[0.45000797510147095, 0.6215087175369263, 0.037103988230228424]","[0.512540876865387, 0.7122871279716492, 0.2208719700574875]","[0.4526284635066986, 0.7127319574356079, 0.2076146900653839]","[0.50804603099823, 0.7210649251937866, 0.2360798567533493]","[0.4568324685096741, 0.7168408632278442, 0.2223166972398758]","[0.5198172330856323, 0.7634440064430237, 0.1641935259103775]","[0.4451301693916321, 0.7692500352859497, 0.15561728179454803]"
