NOSE,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE_OUTER,LEFT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_RIGHT,LEFT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,RIGHT_WRIST,LEFT_PINKY,RIGHT_PINKY,LEFT_INDEX,RIGHT_INDEX,LEFT_THUMB,RIGHT_THUMB,LEFT_HIP,RIGHT_HIP,LEFT_KNEE,RIGHT_KNEE,LEFT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX
"[0.4244316816329956, 0.22050920128822327, -0.43240126967430115]","[0.4397614896297455, 0.2081490010023117, -0.4069443941116333]","[0.44688543677330017, 0.20820307731628418, -0.4069313406944275]","[0.45620349049568176, 0.20851349830627441, -0.40689560770988464]","[0.4105842709541321, 0.20872071385383606, -0.4074404537677765]","[0.40054112672805786, 0.20926599204540253, -0.4074886441230774]","[0.39335381984710693, 0.2100338488817215, -0.4073880612850189]","[0.46951591968536377, 0.21445703506469727, -0.19585131108760834]","[0.38441023230552673, 0.2165108174085617, -0.2005014270544052]","[0.44251561164855957, 0.23559340834617615, -0.3511115312576294]","[0.4093543291091919, 0.2363096922636032, -0.3524264693260193]","[0.5369664430618286, 0.29390960931777954, -0.07987132668495178]","[0.33667653799057007, 0.2946118712425232, -0.15723292529582977]","[0.6128898859024048, 0.33149784803390503, -0.39314141869544983]","[0.27717649936676025, 0.34096625447273254, -0.5715015530586243]","[0.6789587140083313, 0.3343489170074463, -0.8895930647850037]","[0.2221493124961853, 0.3387921452522278, -1.1509130001068115]","[0.7144553065299988, 0.3340878188610077, -0.9723663926124573]","[0.1926070600748062, 0.3343934416770935, -1.2574422359466553]","[0.7018113732337952, 0.3297850787639618, -0.997296929359436]","[0.21192358434200287, 0.3300251364707947, -1.2697290182113647]","[0.6852583885192871, 0.3308640718460083, -0.9126662611961365]","[0.23009376227855682, 0.3317173719406128, -1.1735692024230957]","[0.5063880681991577, 0.49203425645828247, 0.02368559129536152]","[0.38032233715057373, 0.49639230966567993, -0.02390381693840027]","[0.533027172088623, 0.6365314722061157, -0.0026660803705453873]","[0.3569492697715759, 0.638127863407135, 0.032873962074518204]","[0.5481680035591125, 0.736966609954834, 0.4402809143066406]","[0.35661524534225464, 0.7428156137466431, 0.47015684843063354]","[0.5332619547843933, 0.7448287010192871, 0.47057822346687317]","[0.3717019855976105, 0.7504509687423706, 0.5020694732666016]","[0.5719988346099854, 0.7900164127349854, 0.2572372853755951]","[0.3386213183403015, 0.7929822206497192, 0.2853306829929352]"
"[0.4235227406024933, 0.21684443950653076, -0.39474427700042725]","[0.43903201818466187, 0.20470984280109406, -0.37363362312316895]","[0.4468555152416229, 0.20477037131786346, -0.373588889837265]","[0.45540836453437805, 0.2048829048871994, -0.37358394265174866]","[0.40920841693878174, 0.20490750670433044, -0.3751666247844696]","[0.3998473286628723, 0.20540988445281982, -0.37518182396888733]","[0.39174339175224304, 0.20587685704231262, -0.37503594160079956]","[0.46900367736816406, 0.21041497588157654, -0.1827421635389328]","[0.3836110830307007, 0.21121135354042053, -0.1908216029405594]","[0.44183802604675293, 0.23266153037548065, -0.3204311728477478]","[0.4085434079170227, 0.23279264569282532, -0.32239410281181335]","[0.5353797078132629, 0.28979063034057617, -0.08525638282299042]","[0.33420330286026, 0.29110485315322876, -0.1316070556640625]","[0.6084150671958923, 0.32745489478111267, -0.40837979316711426]","[0.276837021112442, 0.3378418982028961, -0.42741039395332336]","[0.6697877049446106, 0.3279932737350464, -0.9195219278335571]","[0.2225668728351593, 0.3337480425834656, -0.8773377537727356]","[0.7082733511924744, 0.32965266704559326, -1.0123094320297241]","[0.19285990297794342, 0.3298485577106476, -0.9641141295433044]","[0.697181224822998, 0.3240547180175781, -1.0383702516555786]","[0.21153290569782257, 0.324765145778656, -0.9805510640144348]","[0.6792356371879578, 0.3249175250530243, -0.94544517993927]","[0.2292536050081253, 0.32647252082824707, -0.8992924094200134]","[0.5062860250473022, 0.49120384454727173, 0.01621217280626297]","[0.38026949763298035, 0.49634894728660583, -0.01639801636338234]","[0.5337517857551575, 0.6302443742752075, 0.02473371848464012]","[0.35608652234077454, 0.6357370018959045, 0.0949910506606102]","[0.5482008457183838, 0.7303119897842407, 0.4405052959918976]","[0.35652613639831543, 0.7375196814537048, 0.49830877780914307]","[0.5332834124565125, 0.7388057112693787, 0.47062695026397705]","[0.37171733379364014, 0.7449566125869751, 0.5299918055534363]","[0.5711283683776855, 0.7814869284629822, 0.27190035581588745]","[0.33687734603881836, 0.7879244089126587, 0.34940531849861145]"
"[0.4227296710014343, 0.2085539996623993, -0.3203587532043457]","[0.43831613659858704, 0.1960284262895584, -0.2953154742717743]","[0.44676488637924194, 0.1961459219455719, -0.2952905297279358]","[0.4543534517288208, 0.1967248022556305, -0.295325368642807]","[0.40825068950653076, 0.1967441439628601, -0.29805701971054077]","[0.39929160475730896, 0.19713343679904938, -0.29808056354522705]","[0.39012810587882996, 0.19783255457878113, -0.2979862093925476]","[0.4673558175563812, 0.2034216821193695, -0.10733687877655029]","[0.38233980536460876, 0.20453612506389618, -0.12212738394737244]","[0.4414278566837311, 0.22501909732818604, -0.2481636255979538]","[0.4073036313056946, 0.22520306706428528, -0.251653790473938]","[0.5319076180458069, 0.281848669052124, -0.034900493919849396]","[0.3289901912212372, 0.28664451837539673, -0.0654299184679985]","[0.607109010219574, 0.32061147689819336, -0.3334030210971832]","[0.2656204402446747, 0.3310839533805847, -0.34883472323417664]","[0.6591454744338989, 0.31670403480529785, -0.8101354241371155]","[0.22260364890098572, 0.32473868131637573, -0.7978021502494812]","[0.695075511932373, 0.32096928358078003, -0.8943225145339966]","[0.19318142533302307, 0.32060083746910095, -0.8774170875549316]","[0.6797179579734802, 0.3149941861629486, -0.9091683030128479]","[0.21289058029651642, 0.31529557704925537, -0.8869964480400085]","[0.6625931262969971, 0.3150441646575928, -0.8304554224014282]","[0.2299080491065979, 0.31715309619903564, -0.8150767087936401]","[0.5055862665176392, 0.489584743976593, 0.01370356883853674]","[0.38004928827285767, 0.4954547882080078, -0.013935509137809277]","[0.5339826345443726, 0.6249909400939941, 0.007125790696591139]","[0.35355886816978455, 0.6311861276626587, 0.03310148045420647]","[0.5480718016624451, 0.7260529398918152, 0.35361552238464355]","[0.3564785122871399, 0.7328090071678162, 0.3145601153373718]","[0.5322403311729431, 0.7342929244041443, 0.3773140013217926]","[0.37170639634132385, 0.7412026524543762, 0.3344009220600128]","[0.570963978767395, 0.7752067446708679, 0.20853343605995178]","[0.33661699295043945, 0.7841972708702087, 0.16130930185317993]"
"[0.42150789499282837, 0.20228520035743713, -0.28823575377464294]","[0.4364469349384308, 0.18947520852088928, -0.26479801535606384]","[0.4458343982696533, 0.1896168440580368, -0.26475873589515686]","[0.452472060918808, 0.19035115838050842, -0.26476162672042847]","[0.4065835177898407, 0.18994715809822083, -0.267486572265625]","[0.39792320132255554, 0.1900908648967743, -0.26749861240386963]","[0.3879556357860565, 0.19088976085186005, -0.26740849018096924]","[0.4640847146511078, 0.19738951325416565, -0.08503330498933792]","[0.380149245262146, 0.19864614307880402, -0.10062777251005173]","[0.4403133690357208, 0.2188064306974411, -0.21913740038871765]","[0.40525174140930176, 0.21875889599323273, -0.22288210690021515]","[0.5298894643783569, 0.2753901183605194, -0.022777395322918892]","[0.32510021328926086, 0.28115320205688477, -0.04484886676073074]","[0.6002233028411865, 0.31532973051071167, -0.2934952974319458]","[0.2586900293827057, 0.3208160400390625, -0.3222413957118988]","[0.6533313989639282, 0.3123182952404022, -0.7358779311180115]","[0.22177082300186157, 0.31550654768943787, -0.7540580630302429]","[0.6895202398300171, 0.31658467650413513, -0.8121054172515869]","[0.1918155401945114, 0.31271883845329285, -0.8292709589004517]","[0.6756614446640015, 0.3110450208187103, -0.8304702639579773]","[0.2129758894443512, 0.30832400918006897, -0.8374354839324951]","[0.6580581068992615, 0.3109653890132904, -0.7563865780830383]","[0.22994738817214966, 0.31001120805740356, -0.7707741856575012]","[0.5046833753585815, 0.4868897497653961, 0.010530569590628147]","[0.378551185131073, 0.49287357926368713, -0.010812261141836643]","[0.5342950224876404, 0.6218560934066772, 0.006615632213652134]","[0.35167425870895386, 0.6266557574272156, 0.03003588505089283]","[0.5466722846031189, 0.7222806215286255, 0.33618485927581787]","[0.35600754618644714, 0.7291873097419739, 0.30041804909706116]","[0.5302302837371826, 0.731979489326477, 0.3576377034187317]","[0.3712950348854065, 0.7386588454246521, 0.31858211755752563]","[0.5678320527076721, 0.7710604667663574, 0.19261451065540314]","[0.33545663952827454, 0.7795153856277466, 0.15567883849143982]"
"[0.42035534977912903, 0.19688370823860168, -0.2896472215652466]","[0.4351749122142792, 0.18430043756961823, -0.2639710605144501]","[0.44512397050857544, 0.1845470815896988, -0.2639095187187195]","[0.45110905170440674, 0.18543899059295654, -0.26387059688568115]","[0.4050635099411011, 0.1846398264169693, -0.26745113730430603]","[0.3964921236038208, 0.18478676676750183, -0.26745498180389404]","[0.38591885566711426, 0.18561705946922302, -0.2673504054546356]","[0.46202361583709717, 0.19269251823425293, -0.08019380271434784]","[0.3779234290122986, 0.193789541721344, -0.10032698512077332]","[0.43937137722969055, 0.21386799216270447, -0.21998557448387146]","[0.4034418761730194, 0.2136426419019699, -0.22488614916801453]","[0.5259149074554443, 0.27139243483543396, -0.025434423238039017]","[0.3203440010547638, 0.2773329019546509, -0.049710653722286224]","[0.5952718257904053, 0.3096376061439514, -0.3084106147289276]","[0.2533233165740967, 0.31517601013183594, -0.3453671634197235]","[0.6510419249534607, 0.30764180421829224, -0.7614527344703674]","[0.21992722153663635, 0.31090447306632996, -0.7803226113319397]","[0.6872925758361816, 0.31259098649024963, -0.8412446975708008]","[0.1913243681192398, 0.3083557188510895, -0.8588489294052124]","[0.6726140975952148, 0.3073059320449829, -0.8594852089881897]","[0.21318639814853668, 0.3039623498916626, -0.8640731573104858]","[0.6542470455169678, 0.30711305141448975, -0.7821639776229858]","[0.2305021733045578, 0.30521926283836365, -0.7959678769111633]","[0.5040329694747925, 0.48345455527305603, 0.010383972898125648]","[0.377920538187027, 0.4898691773414612, -0.010668094269931316]","[0.534899115562439, 0.6194300651550293, 0.006396648474037647]","[0.35053932666778564, 0.6225493550300598, 0.023197989910840988]","[0.5441997051239014, 0.7172660827636719, 0.3548702597618103]","[0.3548184633255005, 0.7256537675857544, 0.3087654709815979]","[0.5271861553192139, 0.7254554033279419, 0.3786354959011078]","[0.3684196472167969, 0.734069287776947, 0.3285825252532959]","[0.5665470957756042, 0.7680578827857971, 0.20846742391586304]","[0.3352701663970947, 0.7762307524681091, 0.1645013839006424]"
"[0.41765135526657104, 0.19455650448799133, -0.2738187909126282]","[0.4324483573436737, 0.18204271793365479, -0.2490416020154953]","[0.44311943650245667, 0.1822655349969864, -0.2489621937274933]","[0.4491616487503052, 0.18282927572727203, -0.24889664351940155]","[0.4023507833480835, 0.18235552310943604, -0.2514311373233795]","[0.3940178453922272, 0.18281212449073792, -0.25143495202064514]","[0.38320955634117126, 0.1835305243730545, -0.25135356187820435]","[0.4595352113246918, 0.18913397192955017, -0.06803936511278152]","[0.37558895349502563, 0.19015343487262726, -0.08465360850095749]","[0.43682289123535156, 0.2113533467054367, -0.20536808669567108]","[0.4011933505535126, 0.21124684810638428, -0.20915989577770233]","[0.5232747793197632, 0.26936158537864685, -0.013535191304981709]","[0.31831094622612, 0.27341729402542114, -0.04708893969655037]","[0.5939580798149109, 0.3057912588119507, -0.29171228408813477]","[0.24411076307296753, 0.3088403344154358, -0.34271949529647827]","[0.6493253111839294, 0.30566227436065674, -0.7249936461448669]","[0.2209789901971817, 0.3045913577079773, -0.7401515245437622]","[0.685753583908081, 0.3102780878543854, -0.8018943071365356]","[0.19167126715183258, 0.3040582835674286, -0.8124178647994995]","[0.6694906949996948, 0.30541473627090454, -0.8169127702713013]","[0.21731433272361755, 0.30051353573799133, -0.8108437657356262]","[0.6500507593154907, 0.30531561374664307, -0.7439022660255432]","[0.23555606603622437, 0.30154234170913696, -0.751230001449585]","[0.5033694505691528, 0.48149585723876953, 0.010882503353059292]","[0.3763430714607239, 0.48796898126602173, -0.011160719208419323]","[0.5350009202957153, 0.618010938167572, 0.021319884806871414]","[0.3490966260433197, 0.6217922568321228, 0.024570118635892868]","[0.543016791343689, 0.7139527797698975, 0.3493584394454956]","[0.35401302576065063, 0.7221118211746216, 0.2958737909793854]","[0.5260095596313477, 0.7220388650894165, 0.37047016620635986]","[0.3669086992740631, 0.7291957139968872, 0.31343719363212585]","[0.5651966333389282, 0.7651336789131165, 0.21217983961105347]","[0.33294540643692017, 0.7723994255065918, 0.1576956808567047]"
"[0.41531118750572205, 0.19407641887664795, -0.2925112545490265]","[0.4307022988796234, 0.18120548129081726, -0.26740729808807373]","[0.4413031339645386, 0.18146441876888275, -0.267352432012558]","[0.44743263721466064, 0.1817336082458496, -0.2673271894454956]","[0.40019264817237854, 0.1814086139202118, -0.2682267725467682]","[0.391846239566803, 0.18182723224163055, -0.2682589590549469]","[0.3816811442375183, 0.18239964544773102, -0.2681899070739746]","[0.4586073160171509, 0.1882012039422989, -0.0829685777425766]","[0.37433353066444397, 0.18790410459041595, -0.09150943905115128]","[0.4342399537563324, 0.21074335277080536, -0.22270549833774567]","[0.3996410071849823, 0.2103770673274994, -0.2243598997592926]","[0.5226839780807495, 0.26935747265815735, -0.01888393610715866]","[0.3188103139400482, 0.2706567645072937, -0.04632663354277611]","[0.6005383133888245, 0.30561354756355286, -0.2829342782497406]","[0.24490074813365936, 0.3084539771080017, -0.33768123388290405]","[0.6502788066864014, 0.30401596426963806, -0.6968759894371033]","[0.22091352939605713, 0.3032464385032654, -0.7596708536148071]","[0.6862549781799316, 0.3080907464027405, -0.773712158203125]","[0.19151249527931213, 0.30234572291374207, -0.8371923565864563]","[0.6675288677215576, 0.30379945039749146, -0.7875962853431702]","[0.2172153741121292, 0.2989799380302429, -0.839450478553772]","[0.6507523655891418, 0.30395665764808655, -0.7145857214927673]","[0.2354230433702469, 0.3002415597438812, -0.7730729579925537]","[0.5028111338615417, 0.4802376329898834, 0.009605780243873596]","[0.3747859001159668, 0.48619771003723145, -0.009928603656589985]","[0.5350551009178162, 0.6167253255844116, 0.02117440477013588]","[0.34782955050468445, 0.61988365650177, 0.02499835006892681]","[0.5425885319709778, 0.7115340828895569, 0.35599398612976074]","[0.35372036695480347, 0.7174275517463684, 0.3102462887763977]","[0.5259740948677063, 0.7197174429893494, 0.37835851311683655]","[0.3665385842323303, 0.7236157655715942, 0.3297635316848755]","[0.5645481944084167, 0.7628791928291321, 0.21190457046031952]","[0.3295900523662567, 0.770146906375885, 0.16802531480789185]"
"[0.4142269492149353, 0.193870410323143, -0.2963500916957855]","[0.42955195903778076, 0.1799747198820114, -0.26965445280075073]","[0.44010794162750244, 0.18014435470104218, -0.26944345235824585]","[0.4461989104747772, 0.18044456839561462, -0.2692982852458954]","[0.3989475965499878, 0.18043915927410126, -0.27015864849090576]","[0.39053696393966675, 0.18061186373233795, -0.2702668011188507]","[0.3807765245437622, 0.1810641586780548, -0.2702431082725525]","[0.45779114961624146, 0.18767490983009338, -0.0891864001750946]","[0.3733792304992676, 0.1872837096452713, -0.1019304171204567]","[0.43303772807121277, 0.21040049195289612, -0.224925234913826]","[0.3982362151145935, 0.210159033536911, -0.2293451577425003]","[0.5219109654426575, 0.2684144377708435, -0.026966353878378868]","[0.3180588185787201, 0.26948511600494385, -0.06024354323744774]","[0.5979233384132385, 0.30515795946121216, -0.28629833459854126]","[0.2446155548095703, 0.30719321966171265, -0.37186509370803833]","[0.6512925028800964, 0.30437999963760376, -0.7243331670761108]","[0.22011996805667877, 0.3032524585723877, -0.8223820924758911]","[0.6871866583824158, 0.3073580861091614, -0.7761059999465942]","[0.19068872928619385, 0.3011605441570282, -0.907672643661499]","[0.6697991490364075, 0.3023436963558197, -0.7952017784118652]","[0.21653811633586884, 0.2975648045539856, -0.9115562438964844]","[0.6528880596160889, 0.3029000759124756, -0.7365816831588745]","[0.2347901612520218, 0.29917559027671814, -0.8380653262138367]","[0.5028161406517029, 0.48022040724754333, 0.008425844833254814]","[0.37390726804733276, 0.4859173893928528, -0.008747424930334091]","[0.5351148843765259, 0.6167522072792053, 0.049196332693099976]","[0.34651172161102295, 0.6196386814117432, 0.05151631683111191]","[0.5424529314041138, 0.7110816240310669, 0.44303324818611145]","[0.35280704498291016, 0.7161141633987427, 0.36847713589668274]","[0.5260710716247559, 0.7200421094894409, 0.47198158502578735]","[0.3650389015674591, 0.7224865555763245, 0.39330893754959106]","[0.5637895464897156, 0.7625292539596558, 0.2960350811481476]","[0.32776305079460144, 0.7695744633674622, 0.2323952168226242]"
"[0.4136678874492645, 0.19444121420383453, -0.33821210265159607]","[0.4283389747142792, 0.17993953824043274, -0.3120077848434448]","[0.439217209815979, 0.17996862530708313, -0.3118416965007782]","[0.445197731256485, 0.18036767840385437, -0.31171321868896484]","[0.3979431688785553, 0.18063446879386902, -0.31462928652763367]","[0.38969242572784424, 0.18086335062980652, -0.3146737813949585]","[0.37971919775009155, 0.18150442838668823, -0.31456729769706726]","[0.45682293176651, 0.18765398859977722, -0.11415167897939682]","[0.3722940683364868, 0.1882331222295761, -0.13389959931373596]","[0.4325113594532013, 0.210657998919487, -0.2604566216468811]","[0.39749082922935486, 0.21084770560264587, -0.26604506373405457]","[0.5211341977119446, 0.2685619592666626, -0.04444689303636551]","[0.3166602849960327, 0.2696704864501953, -0.0752638727426529]","[0.598142683506012, 0.30498382449150085, -0.29820048809051514]","[0.24639344215393066, 0.3067269027233124, -0.3830861747264862]","[0.6524060368537903, 0.30453553795814514, -0.7513415813446045]","[0.21869678795337677, 0.30344149470329285, -0.847063422203064]","[0.6870060563087463, 0.30637213587760925, -0.8237302899360657]","[0.18935169279575348, 0.30054521560668945, -0.9334437847137451]","[0.6709708571434021, 0.3014182448387146, -0.8429169654846191]","[0.2139175832271576, 0.2963148355484009, -0.9387412071228027]","[0.6542301774024963, 0.30257511138916016, -0.7699742913246155]","[0.23153740167617798, 0.2981855869293213, -0.8638018369674683]","[0.5027276277542114, 0.48046231269836426, 0.00797987636178732]","[0.37268561124801636, 0.486270010471344, -0.008311107754707336]","[0.5351212620735168, 0.6173471808433533, 0.06529679894447327]","[0.34469467401504517, 0.6200915575027466, 0.0766182392835617]","[0.542483925819397, 0.710643470287323, 0.4790731966495514]","[0.3516921103000641, 0.7155923843383789, 0.4301132261753082]","[0.5267594456672668, 0.7200460433959961, 0.5097511410713196]","[0.3634412884712219, 0.7216070890426636, 0.45881950855255127]","[0.5630040764808655, 0.7621905207633972, 0.3289087116718292]","[0.326799213886261, 0.7698692083358765, 0.29090458154678345]"
"[0.4134898781776428, 0.1956225335597992, -0.39915740489959717]","[0.4280095100402832, 0.18131908774375916, -0.37266919016838074]","[0.4388936758041382, 0.18130896985530853, -0.37254172563552856]","[0.4447105824947357, 0.18159162998199463, -0.3724612295627594]","[0.39755523204803467, 0.18203777074813843, -0.37564346194267273]","[0.38930660486221313, 0.1823316216468811, -0.3756452798843384]","[0.3793717622756958, 0.18297043442726135, -0.3754968047142029]","[0.4566577076911926, 0.18861684203147888, -0.15818069875240326]","[0.3717601001262665, 0.18968340754508972, -0.17709486186504364]","[0.4322808086872101, 0.211726576089859, -0.31584033370018005]","[0.39737945795059204, 0.2120000123977661, -0.3206038475036621]","[0.5212586522102356, 0.2690892815589905, -0.07053466141223907]","[0.3156159818172455, 0.2697124481201172, -0.13312426209449768]","[0.5974541902542114, 0.3049910366535187, -0.3784027099609375]","[0.24740011990070343, 0.3056064546108246, -0.5082897543907166]","[0.6528563499450684, 0.30478328466415405, -0.8598237633705139]","[0.21820680797100067, 0.3032374382019043, -0.9905823469161987]","[0.6873891949653625, 0.30606621503829956, -0.9517760276794434]","[0.18786902725696564, 0.2999013066291809, -1.0912590026855469]","[0.6718747615814209, 0.30131855607032776, -0.9721466302871704]","[0.2120690643787384, 0.29570451378822327, -1.093212604522705]","[0.6550224423408508, 0.30274853110313416, -0.8842621445655823]","[0.2303946167230606, 0.29781752824783325, -1.0079647302627563]","[0.5025373697280884, 0.4808131158351898, 0.009283050894737244]","[0.3713809549808502, 0.4865210950374603, -0.009608139283955097]","[0.5346983075141907, 0.6173858046531677, 0.08866015821695328]","[0.34289777278900146, 0.6207383871078491, 0.11145275086164474]","[0.542491614818573, 0.7103666067123413, 0.5699969530105591]","[0.3500297963619232, 0.7141385078430176, 0.5429047346115112]","[0.5272313356399536, 0.719828188419342, 0.6079017519950867]","[0.3615063428878784, 0.7182812690734863, 0.5794796347618103]","[0.5626966953277588, 0.7626630663871765, 0.4188178479671478]","[0.3263676166534424, 0.7702488303184509, 0.39951658248901367]"
